2025-04-09 09:57:57 | User ID: 1 | Logout | IP: localhost | Browser: Chrome | OS: Mac OS X | Device: Desktop | User initiated logout
2025-04-09 09:58:37 | User ID: 1 | Registration | IP: localhost | Browser: Chrome | OS: Mac OS X | Device: Desktop | New user registered
2025-04-09 10:16:41 | User ID: 1 | Logout | IP: localhost | Browser: Chrome | OS: Mac OS X | Device: Desktop | User initiated logout
2025-04-09 10:17:01 | User ID: 1 | Registration | IP: localhost | Browser: Chrome | OS: Mac OS X | Device: Desktop | New user registered
2025-04-09 10:21:41 | User ID: 1 | Logout | IP: localhost | Browser: Chrome | OS: Mac OS X | Device: Desktop | User initiated logout
2025-04-09 10:21:56 | User ID: 1 | Registration | IP: localhost | Browser: Chrome | OS: Mac OS X | Device: Desktop | New user registered
2025-04-09 10:26:37 | User ID: 1 | Logout | IP: localhost | Browser: Chrome | OS: Mac OS X | Device: Desktop | User initiated logout
2025-04-09 10:26:55 | User ID: 1 | Registration | IP: localhost | Browser: Chrome | OS: Mac OS X | Device: Desktop | New user registered
2025-04-09 10:36:37 | User ID: 1 | Logout | IP: localhost | Browser: Chrome | OS: Mac OS X | Device: Desktop | User initiated logout
2025-04-09 10:36:51 | User ID: 1 | Registration | IP: localhost | Browser: Chrome | OS: Mac OS X | Device: Desktop | New user registered
2025-04-09 11:27:09 | User ID: 1 | Logout | IP: localhost | Browser: Chrome | OS: Mac OS X | Device: Desktop | User initiated logout
2025-04-09 11:27:23 | User ID: 1 | Registration | IP: localhost | Browser: Chrome | OS: Mac OS X | Device: Desktop | New user registered
2025-04-09 11:27:39 | User ID: 1 | Logout | IP: localhost | Browser: Chrome | OS: Mac OS X | Device: Desktop | User initiated logout
2025-04-09 11:28:05 | User ID: 2 | Registration | IP: localhost | Browser: Chrome | OS: Mac OS X | Device: Desktop | New user registered
2025-04-09 11:32:27 | User ID: 2 | Logout | IP: localhost | Browser: Chrome | OS: Mac OS X | Device: Desktop | User initiated logout
2025-04-09 11:33:00 | User ID: 3 | Registration | IP: localhost | Browser: Chrome | OS: Mac OS X | Device: Desktop | New user registered
2025-04-09 11:38:20 | User ID: 3 | Logout | IP: localhost | Browser: Chrome | OS: Mac OS X | Device: Desktop | User initiated logout
2025-04-09 11:38:40 | User ID: 4 | Registration | IP: localhost | Browser: Chrome | OS: Mac OS X | Device: Desktop | New user registered
2025-04-09 11:42:08 | User ID: 4 | Logout | IP: localhost | Browser: Chrome | OS: Mac OS X | Device: Desktop | User initiated logout
2025-04-09 11:42:33 | User ID: 1 | Registration | IP: localhost | Browser: Chrome | OS: Mac OS X | Device: Desktop | New user registered
2025-04-09 22:45:29 | User ID: 2 | Registration | IP: localhost | Browser: Chrome | OS: Windows | Device: Desktop | New user registered
